Word,Ham Count,Spam Count,Total Count,Spam Ratio
risk,4804,2390,7194,0.332
sent,5451,1726,7177,0.24
order,2661,4504,7165,0.629
interest,3677,3403,7080,0.481
take,3905,3146,7051,0.446
p,4125,2925,7050,0.415
contact,3415,3623,7038,0.515
than,4204,2803,7007,0.4
were,5003,2001,7004,0.286
project,3831,3133,6964,0.45
had,5115,1777,6892,0.258
follow,4884,1989,6873,0.289
money,1229,5626,6855,0.821
chang,5142,1709,6851,0.249
j,6111,674,6785,0.099
when,4239,2526,6765,0.373
system,3493,3221,6714,0.48
after,4188,2361,6549,0.361
c,3850,2635,6485,0.406
let,5305,1163,6468,0.18
schedul,6335,131,6466,0.02
state,3511,2946,6457,0.456
name,2808,3634,6442,0.564
financi,4961,1430,6391,0.224
regard,4222,2166,6388,0.339
month,4007,2254,6261,0.36
through,3022,3200,6222,0.514
de,393,5815,6208,0.937
free,1452,4728,6180,0.765
origin,5398,781,6179,0.126
last,4460,1679,6139,0.273
expect,2627,3492,6119,0.571
develop,4065,2050,6115,0.335
credit,4673,1440,6113,0.236
within,1388,4707,6095,0.772
base,3383,2692,6075,0.443
next,3461,2613,6074,0.43
term,3996,2005,6001,0.334
file,4442,1542,5984,0.258
how,3019,2950,5969,0.494
current,3513,2447,5960,0.411
date,4609,1298,5907,0.22
address,1714,4175,5889,0.709
houston,5804,64,5868,0.011
custom,2663,3202,5865,0.546
gener,3504,2360,5864,0.402
question,5082,759,5841,0.13
plan,4326,1451,5777,0.251
help,3521,2236,5757,0.388
best,2126,3508,5634,0.623
them,3510,2070,5580,0.371
today,2897,2677,5574,0.48
start,3406,2119,5525,0.384
issu,4601,870,5471,0.159
news,2409,3045,5454,0.558
veri,3097,2355,5452,0.432
l,2356,3070,5426,0.566
posit,3090,2306,5396,0.427
two,3698,1688,5386,0.313
send,2240,3113,5353,0.582
billion,4556,764,5320,0.144
right,3317,1977,5294,0.373
result,1992,3232,5224,0.619
contract,4301,914,5215,0.175
attach,4681,530,5211,0.102
avail,2592,2604,5196,0.501
program,1974,3198,5172,0.618
process,3051,2113,5164,0.409
futur,1573,3574,5147,0.694
site,1367,3779,5146,0.734
u,2211,2913,5124,0.569
bank,2209,2898,5107,0.567
th,3338,1748,5086,0.344
transact,3398,1682,5080,0.331
well,3243,1834,5077,0.361
first,3034,2024,5058,0.4
investor,3187,1868,5055,0.37
sale,2837,2200,5037,0.437
peopl,2690,2301,4991,0.461
such,2132,2856,4988,0.573
request,3896,1089,4985,0.218
requir,2885,2069,4954,0.418
click,956,3994,4950,0.807
discuss,4044,860,4904,0.175
data,4034,839,4873,0.172
dynegi,4857,0,4857,0.0
back,3287,1559,4846,0.322
kaminski,4840,0,4840,0.0
net,1733,3096,4829,0.641
befor,2192,2611,4803,0.544
softwar,607,4191,4798,0.873
complet,2673,2112,4785,0.441
review,3416,1331,4747,0.28
most,2468,2277,4745,0.48
mani,2050,2694,4744,0.568
per,2776,1912,4688,0.408
don,2495,2164,4659,0.464
made,2003,2655,4658,0.57
r,1053,3551,4604,0.771
come,2644,1935,4579,0.423
x,1920,2627,4547,0.578
cost,2957,1562,4519,0.346
intern,1827,2687,4514,0.595
onlin,909,3600,4509,0.798
b,1805,2668,4473,0.596
note,2798,1623,4421,0.367
good,2383,2033,4416,0.46
addit,3206,1206,4412,0.273
way,2144,2265,4409,0.514
industri,2439,1956,4395,0.445
hour,2735,1660,4395,0.378
perform,2204,2156,4360,0.494
continu,2945,1411,4356,0.324
line,2609,1725,4334,0.398
fund,1546,2783,4329,0.643
becaus,2367,1900,4267,0.445
commun,2963,1292,4255,0.304
research,3399,840,4239,0.198
buy,2411,1824,4235,0.431
below,2447,1773,4220,0.42
off,2887,1322,4209,0.314
mr,2063,2141,4204,0.509
think,3169,1015,4184,0.243
under,2556,1619,4175,0.388
unit,2639,1505,4144,0.363
home,1250,2879,4129,0.697
much,2360,1743,4103,0.425
close,3429,669,4098,0.163
give,2387,1701,4088,0.416
say,2870,1203,4073,0.295
save,689,3377,4066,0.831
find,2134,1927,4061,0.475
part,1847,2167,4014,0.54
valu,2835,1147,3982,0.288
present,2517,1453,3970,0.366
then,2111,1849,3960,0.467
john,3690,259,3949,0.066
own,1768,2172,3940,0.551
updat,3057,881,3938,0.224
those,2152,1766,3918,0.451
due,2025,1872,3897,0.48
jone,3710,185,3895,0.047
high,1758,2110,3868,0.546
each,2434,1433,3867,0.371
final,2903,940,3843,0.245
long,2403,1410,3813,0.37
sell,2099,1693,3792,0.446
move,2471,1311,3782,0.347
end,2762,1019,3781,0.27
asset,3120,642,3762,0.171
even,1959,1803,3762,0.479
phone,1846,1909,3755,0.508
california,3438,302,3740,0.081
team,2946,792,3738,0.212
person,1724,2003,3727,0.537
sinc,2367,1337,3704,0.361
approv,2193,1508,3701,0.407
cash,2198,1491,3689,0.404
natur,2567,1121,3688,0.304
louis,3664,7,3671,0.002
total,1939,1715,3654,0.469
believ,1625,2025,3650,0.555
execut,2964,678,3642,0.186
increas,1767,1849,3616,0.511
option,3124,476,3600,0.132
doe,1680,1905,3585,0.531
limit,1911,1650,3561,0.463
support,2530,1028,3558,0.289
possibl,2508,1047,3555,0.295
friday,3182,356,3538,0.101
respons,2485,1039,3524,0.295
internet,1021,2501,3522,0.71
act,591,2923,3514,0.832
remov,477,3037,3514,0.864
event,1532,1976,3508,0.563
detail,2043,1464,3507,0.417
place,1784,1722,3506,0.491
financ,2454,1051,3505,0.3
agreement,2645,856,3501,0.245
world,1103,2387,3490,0.684
visit,1479,2000,3479,0.575
down,2608,867,3475,0.249
websit,595,2879,3474,0.829
set,2438,1034,3472,0.298
reserv,2599,857,3456,0.248
tri,1849,1600,3449,0.464
corpor,1932,1510,3442,0.439
pay,1894,1534,3428,0.447
dow,3212,191,3403,0.056
monday,3050,347,3397,0.102
effect,1743,1640,3383,0.485
fax,1968,1409,3377,0.417
point,2694,681,3375,0.202
announc,1853,1490,3343,0.446
employe,3155,186,3341,0.056
both,2200,1134,3334,0.34
where,1903,1419,3322,0.427
while,1919,1398,3317,0.421
technolog,934,2376,3310,0.718
ask,2443,866,3309,0.262
dollar,1032,2271,3303,0.688
analyst,3141,159,3300,0.048
claim,542,2738,3280,0.835
juli,2770,482,3252,0.148
databas,2547,700,3247,0.216
purchas,2282,964,3246,0.297
mark,2889,345,3234,0.107
problem,2269,955,3224,0.296
adob,32,3184,3216,0.99
differ,1433,1779,3212,0.554
oil,1399,1797,3196,0.562
special,872,2323,3195,0.727
co,2011,1180,3191,0.37
opportun,1708,1476,3184,0.464
form,1597,1576,3173,0.497
still,2430,728,3158,0.231
her,1493,1659,3152,0.526
she,2027,1106,3133,0.353
without,916,2215,3131,0.707
talk,2513,606,3119,0.194
volum,2700,386,3086,0.125
access,1940,1145,3085,0.371
profession,332,2738,3070,0.892
electr,2724,334,3058,0.109
ll,1628,1414,3042,0.465
model,2687,340,3027,0.112
director,2125,886,3011,0.294
fact,767,2241,3008,0.745
great,1318,1689,3007,0.562
exchang,1986,1017,3003,0.339
relat,2232,768,3000,0.256
further,1630,1347,2977,0.452
keep,1639,1331,2970,0.448
associ,2327,636,2963,0.215
america,2123,830,2953,0.281
link,872,2075,2947,0.704
presid,2171,754,2925,0.258
g,820,2100,2920,0.719
percent,2462,456,2918,0.156
web,1040,1873,2913,0.643
recent,1823,1085,2908,0.373
real,1423,1471,2894,0.508
him,2029,864,2893,0.299
bill,2162,730,2892,0.252
concern,2265,617,2882,0.214
materi,746,2134,2880,0.741
book,2152,717,2869,0.25
must,1151,1718,2869,0.599
assist,1239,1626,2865,0.568
public,1271,1581,2852,0.554
past,1309,1542,2851,0.541
y,161,2685,2846,0.943
particip,1790,1055,2845,0.371
meter,2803,41,2844,0.014
did,2020,822,2842,0.289
releas,1131,1708,2839,0.602
creat,1848,988,2836,0.348
david,2626,203,2829,0.072
info,685,2143,2828,0.758
,2827,1,2828,0.0
check,1178,1641,2819,0.582
copyright,2599,215,2814,0.076
parti,1214,1596,2810,0.568
ee,2425,357,2782,0.128
earn,1914,864,2778,0.311
involv,1201,1572,2773,0.567
again,1622,1143,2765,0.413
action,1333,1431,2764,0.518
copi,1820,932,2752,0.339
ve,1294,1457,2751,0.53
abov,1495,1255,2750,0.456
debt,2359,391,2750,0.142
few,1571,1162,2733,0.425
thing,1430,1299,2729,0.476
hope,2004,720,2724,0.264
n,636,2086,2722,0.766
confer,2512,197,2709,0.073
confirm,1859,850,2709,0.314
success,1071,1624,2695,0.603
same,1485,1208,2693,0.449
put,1964,707,2671,0.265
estim,1211,1452,2663,0.545
promot,657,2004,2661,0.753
global,2048,610,2658,0.229
full,1018,1622,2640,0.614
until,1803,834,2637,0.316
firm,2173,443,2616,0.169
hpl,2608,4,2612,0.002
partnership,2346,265,2611,0.101
control,1573,1037,2610,0.397
york,2377,227,2604,0.087
sourc,1127,1475,2602,0.567
countri,526,2067,2593,0.797
might,1547,1045,2592,0.403
contain,819,1765,2584,0.683
low,767,1815,2582,0.703
activ,1858,716,2574,0.278
trader,2426,145,2571,0.056
member,1417,1143,2560,0.446
sever,1774,784,2558,0.306
run,1952,605,2557,0.237
util,2258,291,2549,0.114
show,1512,1036,2548,0.407
wednesday,2404,142,2546,0.056
stop,495,2049,2544,0.805
feel,1215,1324,2539,0.521
dure,1826,707,2533,0.279
et,2258,267,2525,0.106
profit,1376,1146,2522,0.454
notic,1019,1494,2513,0.595
mean,811,1687,2498,0.675
howev,2007,476,2483,0.192
repli,565,1918,2483,0.772
three,1445,1036,2481,0.418
chief,2256,215,2471,0.087
repres,1117,1351,2468,0.547
section,622,1845,2467,0.748
thursday,2262,204,2466,0.083
user,1188,1277,2465,0.518
third,1508,955,2463,0.388
v,461,2001,2462,0.813
immedi,1069,1393,2462,0.566
w,1509,947,2456,0.386
everi,843,1612,2455,0.657
tuesday,2227,211,2438,0.087
applic,1232,1204,2436,0.494
life,311,2123,2434,0.872
wish,524,1898,2422,0.784
loss,1822,593,2415,0.246
between,1970,443,2413,0.184
comment,2231,182,2413,0.075
govern,1040,1365,2405,0.568
charg,1701,697,2398,0.291
import,1422,972,2394,0.406
understand,1482,912,2394,0.381
quarter,2026,361,2387,0.151
fw,2172,215,2387,0.09
level,1709,677,2386,0.284
resourc,1674,712,2386,0.298
indic,1096,1269,2365,0.537
advic,199,2166,2365,0.916
read,766,1596,2362,0.676
short,1695,651,2346,0.277
ena,2342,0,2342,0.0
texa,2074,262,2336,0.112
direct,1454,872,2326,0.375
abl,1524,801,2325,0.345
f,974,1349,2323,0.581
payment,1327,993,2320,0.428
top,1074,1241,2315,0.536
comput,622,1691,2313,0.731
propos,1708,600,2308,0.26
alreadi,1553,748,2301,0.325
robert,2108,190,2298,0.083
pill,4,2287,2291,0.998
major,1066,1219,2285,0.533
type,1401,877,2278,0.385
case,1523,753,2276,0.331
potenti,1219,1052,2271,0.463
cent,2000,269,2269,0.119
watch,422,1840,2262,0.813
anoth,1613,646,2259,0.286
onc,1201,1055,2256,0.468
open,1556,698,2254,0.31
capit,1620,634,2254,0.281
actual,1350,899,2249,0.4
plant,1991,252,2243,0.112
area,1287,952,2239,0.425
return,1191,1044,2235,0.467
design,708,1525,2233,0.683
effort,1306,926,2232,0.415
street,1782,448,2230,0.201
document,1557,672,2229,0.301
transfer,630,1598,2228,0.717
k,1343,884,2227,0.397
lead,1302,924,2226,0.415
deliveri,1510,715,2225,0.321
locat,1360,861,2221,0.388
legal,1262,952,2214,0.43
accept,959,1255,2214,0.567
north,1659,552,2211,0.25
lon,1895,306,2201,0.139
select,807,1390,2197,0.633
hold,1345,847,2192,0.386
mmbtu,2189,0,2189,0.0
sure,1504,683,2187,0.312
soon,1236,949,2185,0.434
less,1195,986,2181,0.452
center,1277,894,2171,0.412
interview,2029,139,2168,0.064
commerci,1485,682,2167,0.315
produc,1040,1126,2166,0.52
allow,1327,827,2154,0.384
ad,1208,939,2147,0.437
window,321,1823,2144,0.85
error,1363,774,2137,0.362
octob,1970,167,2137,0.078
dear,944,1193,2137,0.558
pipelin,2090,35,2125,0.016
sign,1354,768,2122,0.362
ship,367,1749,2116,0.827
too,1118,991,2109,0.47
view,1116,988,2104,0.47
london,1869,227,2096,0.108
june,1603,477,2080,0.229
april,1926,149,2075,0.072
amount,1210,860,2070,0.415
partner,942,1127,2069,0.545
regist,532,1536,2068,0.743
la,401,1665,2066,0.806
id,1093,969,2062,0.47
agre,1617,434,2051,0.212
consid,1033,1009,2042,0.494
suppli,1417,624,2041,0.306
januari,1573,465,2038,0.228
lay,1919,119,2038,0.058
enter,980,1051,2031,0.517
mike,1978,52,2030,0.026
kitchen,1996,28,2024,0.014
revenu,756,1261,2017,0.625
flow,1808,206,2014,0.102
growth,749,1264,2013,0.628
build,1246,766,2012,0.381
dbcap,2010,0,2010,0.0
size,404,1603,2007,0.799
featur,317,1690,2007,0.842
morn,1584,413,1997,0.207
target,580,1417,1997,0.71
shall,997,999,1996,0.501
capac,1891,99,1990,0.05
st,782,1204,1986,0.606
caus,664,1321,1985,0.665
el,981,1001,1982,0.505
privat,658,1321,1979,0.668
guarante,476,1503,1979,0.759
distribut,1024,954,1978,0.482
depart,1122,856,1978,0.433
version,952,1020,1972,0.517
equiti,1578,393,1971,0.199
commiss,1564,407,1971,0.206
board,1529,437,1966,0.222
better,1039,918,1957,0.469
remain,1520,435,1955,0.223
decid,769,1172,1941,0.604
medic,114,1826,1940,0.941
reason,975,965,1940,0.497
march,1615,323,1938,0.167
letter,969,966,1935,0.499
daili,1576,358,1934,0.185
individu,1203,730,1933,0.378
demand,1417,513,1930,0.266
content,554,1375,1929,0.713
qualiti,413,1515,1928,0.786
intend,943,983,1926,0.51
na,1654,272,1926,0.141
second,926,992,1918,0.517
daren,1913,5,1918,0.003
given,1168,746,1914,0.39
chairman,1748,158,1906,0.083
confidenti,766,1139,1905,0.598
done,1383,519,1902,0.273
cd,140,1760,1900,0.926
oo,18,1872,1890,0.99
advis,828,1060,1888,0.561
thousand,125,1762,1887,0.934
lot,977,909,1886,0.482
press,867,1014,1881,0.539
august,1660,211,1871,0.113
standard,1366,498,1864,0.267
begin,1292,568,1860,0.305
advertis,132,1727,1859,0.929
iso,1455,397,1852,0.214
becom,841,1010,1851,0.546
paid,642,1207,1849,0.653
newslett,228,1620,1848,0.877
post,1473,371,1844,0.201
network,976,864,1840,0.47
h,732,1107,1839,0.602
ceo,1379,458,1837,0.249
realli,1009,828,1837,0.451
steve,1760,63,1823,0.035
late,926,896,1822,0.492
suggest,1337,479,1816,0.264
big,1001,814,1815,0.448
nation,805,1005,1810,0.555
whi,712,1095,1807,0.606
decemb,1554,252,1806,0.14
respect,658,1142,1800,0.634
write,874,922,1796,0.513
live,492,1303,1795,0.726
around,1150,636,1786,0.356
cut,1487,298,1785,0.167
record,878,904,1782,0.507
accord,1149,628,1777,0.353
award,876,900,1776,0.507
edu,1725,49,1774,0.028
littl,838,933,1771,0.527
jeff,1729,39,1768,0.022
novemb,1604,160,1764,0.091
shirley,1735,23,1758,0.013
refer,741,1017,1758,0.578
michael,1557,194,1751,0.111
publish,402,1346,1748,0.77
later,1128,618,1746,0.354
univers,1415,330,1745,0.189
face,764,974,1738,0.56
identifi,704,1030,1734,0.594
certain,722,1012,1734,0.584
join,1197,536,1733,0.309
hourahead,1733,0,1733,0.0
page,986,740,1726,0.429
express,484,1237,1721,0.719
desk,1515,205,1720,0.119
paper,1329,391,1720,0.227
word,531,1186,1717,0.691
microsoft,316,1400,1716,0.816
viagra,0,1716,1716,1.0
got,873,842,1715,0.491
solut,662,1053,1715,0.614
win,231,1480,1711,0.865
famili,436,1273,1709,0.745
hello,524,1184,1708,0.693
never,513,1192,1705,0.699
ticket,1213,480,1693,0.284
pro,230,1463,1693,0.864
sharehold,1197,495,1692,0.293
decis,1235,451,1686,0.267
sec,1030,656,1686,0.389
html,435,1249,1684,0.742
seek,641,1038,1679,0.618
gain,729,949,1678,0.566
organ,909,758,1667,0.455
test,987,677,1664,0.407
septemb,1476,188,1664,0.113
offici,1046,612,1658,0.369
via,718,935,1653,0.566
expens,892,760,1652,0.46
unknown,1410,240,1650,0.145
anticip,314,1335,1649,0.81
benefit,872,774,1646,0.47
wall,1424,221,1645,0.134
period,1299,344,1643,0.209
minut,542,1101,1643,0.67
experi,826,816,1642,0.497
tax,1069,570,1639,0.348
download,453,1184,1637,0.723
fee,783,853,1636,0.521
yesterday,1583,52,1635,0.032
bankruptci,1304,330,1634,0.202
bond,1511,123,1634,0.075
bring,897,736,1633,0.451
bob,1579,52,1631,0.032
william,1426,198,1624,0.122
larg,1017,606,1623,0.373
head,1123,500,1623,0.308
job,1196,426,1622,0.263
alia,1337,283,1620,0.175
statu,1326,292,1618,0.18
submit,812,805,1617,0.498
card,391,1218,1609,0.757
prior,878,730,1608,0.454
suit,657,942,1599,0.589
found,754,843,1597,0.528
thought,1184,411,1595,0.258
american,972,621,1593,0.39
structur,1295,298,1593,0.187
easi,239,1353,1592,0.85
search,187,1405,1592,0.883
averag,1099,493,1592,0.31
care,609,980,1589,0.617
profil,351,1238,1589,0.779
specif,1070,517,1587,0.326
kevin,1562,23,1585,0.015
engin,721,862,1583,0.545
canada,786,781,1567,0.498
improv,707,859,1566,0.549
ms,335,1230,1565,0.786
balanc,1359,203,1562,0.13
cours,1043,510,1553,0.328
mari,1415,133,1548,0.086
reach,857,691,1548,0.446
factor,526,1019,1545,0.66
necessari,650,895,1545,0.579
sheet,1193,347,1540,0.225
confid,976,563,1539,0.366
uk,759,777,1536,0.506
rememb,335,1198,1533,0.781
ever,448,1085,1533,0.708
client,658,864,1522,0.568
cover,1182,337,1519,0.222
skill,1368,149,1517,0.098
initi,1087,429,1516,0.283
etc,1005,507,1512,0.335
lower,1060,442,1502,0.294
nomin,1236,265,1501,0.177
deliv,809,691,1500,0.461
mention,912,584,1496,0.39
alway,523,972,1495,0.65
kind,541,953,1494,0.638
happen,772,721,1493,0.483
q,566,922,1488,0.62
europ,854,631,1485,0.425
turn,797,686,1483,0.463
committe,1351,130,1481,0.088
key,887,593,1480,0.401
either,1035,437,1472,0.297
negoti,1037,435,1472,0.296
agent,139,1332,1471,0.906
acquisit,567,899,1466,0.613
prefer,1039,424,1463,0.29
wait,533,930,1463,0.636
salli,1443,18,1461,0.012
matter,732,725,1457,0.498
affili,642,815,1457,0.559
hard,704,749,1453,0.515
clear,1007,446,1453,0.307
item,953,500,1453,0.344
arrang,1119,333,1452,0.229
xp,6,1445,1451,0.996
foreign,266,1184,1450,0.817
yet,970,475,1445,0.329
add,861,582,1443,0.403
learn,518,925,1443,0.641
fastow,1431,0,1431,0.0
anyth,928,502,1430,0.351
transport,1267,162,1429,0.113
revis,1336,89,1425,0.062
protect,557,864,1421,0.608
strong,700,720,1420,0.507
readi,470,949,1419,0.669
basi,1143,275,1418,0.194
usa,740,675,1415,0.477
smith,1267,148,1415,0.105
lose,390,1025,1415,0.724
acquir,548,866,1414,0.612
loan,663,747,1410,0.53
hand,625,784,1409,0.556
soft,108,1301,1409,0.923
yahoo,337,1072,1409,0.761
reduc,997,412,1409,0.292
staff,980,426,1406,0.303
logo,47,1357,1404,0.967
non,936,467,1403,0.333
lotteri,16,1385,1401,0.989
normal,518,883,1401,0.63
hear,914,487,1401,0.348
small,622,778,1400,0.556
font,39,1361,1400,0.972
step,808,590,1398,0.422
retail,593,804,1397,0.576
whether,1169,226,1395,0.162
ca,566,822,1388,0.592
attend,1243,145,1388,0.104
packag,501,880,1381,0.637
rais,917,464,1381,0.336
held,841,540,1381,0.391
fall,1141,239,1380,0.173
prescript,40,1339,1379,0.971
ferc,1376,0,1376,0.0
earli,1123,252,1375,0.183
feder,730,645,1375,0.469
code,674,701,1375,0.51
al,273,1101,1374,0.801
pass,788,582,1370,0.425
against,960,407,1367,0.298
exist,833,534,1367,0.391
reuter,1354,13,1367,0.01
uncertainti,322,1044,1366,0.764
togeth,1067,298,1365,0.218
west,1052,311,1363,0.228
consult,589,770,1359,0.567
someth,845,512,1357,0.377
recommend,862,493,1355,0.364
five,551,803,1354,0.593
among,699,654,1353,0.483
deposit,127,1226,1353,0.906
nov,1292,61,1353,0.045
region,898,453,1351,0.335
love,281,1070,1351,0.792
investig,963,386,1349,0.286
brand,131,1217,1348,0.903
resum,1255,87,1342,0.065
subscrib,176,1166,1342,0.869
mobil,336,1001,1337,0.749
enronxg,1335,0,1335,0.0
farmer,1184,151,1335,0.113
polici,904,430,1334,0.322
nd,387,947,1334,0.71
hous,641,691,1332,0.519
grant,783,548,1331,0.412
upon,611,719,1330,0.541
edit,416,914,1330,0.687
unsubscrib,220,1105,1325,0.834
oct,1268,56,1324,0.042
jame,1185,138,1323,0.104
citi,663,655,1318,0.497
away,602,716,1318,0.543
man,207,1110,1317,0.843
answer,810,507,1317,0.385
eb,1298,18,1316,0.014
purpos,554,758,1312,0.578
prepar,889,422,1311,0.322
four,774,535,1309,0.409
titl,410,897,1307,0.686
appreci,1011,292,1303,0.224
sincer,450,851,1301,0.654
leav,958,339,1297,0.261
exampl,695,600,1295,0.463
drive,477,818,1295,0.632
wholesal,1098,196,1294,0.151
mm,1192,99,1291,0.077
properti,323,968,1291,0.75
richard,1183,107,1290,0.083
friend,395,894,1289,0.694
en,82,1206,1288,0.936
analysi,1088,200,1288,0.155
portland,1277,11,1288,0.009
school,953,334,1287,0.26
ago,865,420,1285,0.327
largest,981,302,1283,0.235
south,494,789,1283,0.615
commod,1193,89,1282,0.069
insur,594,687,1281,0.536
februari,1132,149,1281,0.116
invit,916,361,1277,0.283
play,530,745,1275,0.584
law,666,604,1270,0.476
load,975,290,1265,0.229
grow,476,788,1264,0.623
least,831,430,1261,0.341
draw,255,1004,1259,0.797
br,31,1227,1258,0.975
hundr,148,1110,1258,0.882
happi,696,561,1257,0.446
store,212,1044,1256,0.831
lo,236,1018,1254,0.812
bid,1189,65,1254,0.052
told,993,258,1251,0.206
condit,651,599,1250,0.479
fast,280,967,1247,0.775
left,883,364,1247,0.292
summer,1099,147,1246,0.118
idea,864,382,1246,0.307
doc,1211,32,1243,0.026
index,731,511,1242,0.411
xl,1170,72,1242,0.058
senior,1029,212,1241,0.171
drug,58,1182,1240,0.953
box,414,822,1236,0.665
abil,646,588,1234,0.476
appear,944,290,1234,0.235
worldwid,221,1012,1233,0.821
latest,650,582,1232,0.472
travel,591,638,1229,0.519
advanc,579,649,1228,0.529
fail,906,320,1226,0.261
health,189,1036,1225,0.846
seem,959,266,1225,0.217
yourself,139,1085,1224,0.886
discount,427,797,1224,0.651
extend,770,454,1224,0.371
draft,1094,129,1223,0.105
therefor,624,598,1222,0.489
agenc,894,327,1221,0.268
fill,400,820,1220,0.672
merger,1165,53,1218,0.044
competit,602,614,1216,0.505
chri,1169,47,1216,0.039
author,793,420,1213,0.346
mid,1008,204,1212,0.168
nom,1205,7,1212,0.006
deriv,1132,78,1210,0.064
org,434,775,1209,0.641
liquid,919,289,1208,0.239
class,957,251,1208,0.208
congratul,384,820,1204,0.681
ensur,821,380,1201,0.316
feedback,1130,71,1201,0.059
transmiss,1036,164,1200,0.137
ciali,0,1199,1199,1.0
everyon,797,397,1194,0.332
sold,762,429,1191,0.36
tell,606,585,1191,0.491
administr,921,270,1191,0.227
occur,432,759,1191,0.637
